Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
365.16	87.263	undefined	6.5885	8.1606	20.859	1000.0	0.0010000	6.5885	8.1606	20.859	66.361	72.987	1713.5	-0.19146	0.00033088	0.72107	1000.0	0.0010000	6.5885	8.1606	20.859	66.361	72.987	1713.5	-0.19146	0.00033088	0.72107
365.66	88.084	undefined	6.6217	8.2085	20.950	1000.0	0.0010000	6.6217	8.2085	20.950	66.306	72.972	1714.8	-0.19132	0.00032937	0.72176	1000.0	0.0010000	6.6217	8.2085	20.950	66.306	72.972	1714.8	-0.19132	0.00032937	0.72176
366.16	88.907	undefined	6.6548	8.2565	21.040	1000.0	0.0010000	6.6548	8.2565	21.040	66.251	72.956	1716.2	-0.19119	0.00032787	0.72245	1000.0	0.0010000	6.6548	8.2565	21.040	66.251	72.956	1716.2	-0.19119	0.00032787	0.72245
366.66	89.733	undefined	6.6879	8.3045	21.131	1000.0	0.0010000	6.6879	8.3045	21.131	66.196	72.941	1717.5	-0.19105	0.00032639	0.72314	1000.0	0.0010000	6.6879	8.3045	21.131	66.196	72.941	1717.5	-0.19105	0.00032639	0.72314
367.16	90.560	undefined	6.7210	8.3525	21.221	1000.0	0.0010000	6.7210	8.3525	21.221	66.141	72.925	1718.8	-0.19092	0.00032493	0.72383	1000.0	0.0010000	6.7210	8.3525	21.221	66.141	72.925	1718.8	-0.19092	0.00032493	0.72383
367.66	91.390	undefined	6.7541	8.4005	21.311	1000.0	0.0010000	6.7541	8.4005	21.311	66.086	72.910	1720.2	-0.19079	0.00032348	0.72451	1000.0	0.0010000	6.7541	8.4005	21.311	66.086	72.910	1720.2	-0.19079	0.00032348	0.72451
368.16	92.223	undefined	6.7871	8.4485	21.401	1000.0	0.0010000	6.7871	8.4485	21.401	66.032	72.894	1721.5	-0.19066	0.00032204	0.72520	1000.0	0.0010000	6.7871	8.4485	21.401	66.032	72.894	1721.5	-0.19066	0.00032204	0.72520
368.66	93.057	undefined	6.8201	8.4966	21.490	1000.0	0.0010000	6.8201	8.4966	21.490	65.978	72.879	1722.8	-0.19053	0.00032062	0.72589	1000.0	0.0010000	6.8201	8.4966	21.490	65.978	72.879	1722.8	-0.19053	0.00032062	0.72589
369.16	93.894	undefined	6.8531	8.5446	21.580	1000.0	0.0010000	6.8531	8.5446	21.580	65.923	72.863	1724.1	-0.19040	0.00031922	0.72657	1000.0	0.0010000	6.8531	8.5446	21.580	65.923	72.863	1724.1	-0.19040	0.00031922	0.72657
369.66	94.732	undefined	6.8860	8.5927	21.669	1000.0	0.0010000	6.8860	8.5927	21.669	65.869	72.847	1725.4	-0.19027	0.00031783	0.72725	1000.0	0.0010000	6.8860	8.5927	21.669	65.869	72.847	1725.4	-0.19027	0.00031783	0.72725
370.16	95.573	undefined	6.9190	8.6407	21.758	1000.0	0.0010000	6.9190	8.6407	21.758	65.815	72.832	1726.8	-0.19014	0.00031645	0.72794	1000.0	0.0010000	6.9190	8.6407	21.758	65.815	72.832	1726.8	-0.19014	0.00031645	0.72794
370.66	96.416	undefined	6.9519	8.6888	21.847	1000.0	0.0010000	6.9519	8.6888	21.847	65.762	72.816	1728.1	-0.19001	0.00031509	0.72862	1000.0	0.0010000	6.9519	8.6888	21.847	65.762	72.816	1728.1	-0.19001	0.00031509	0.72862
371.16	97.261	undefined	6.9847	8.7369	21.935	1000.0	0.0010000	6.9847	8.7369	21.935	65.708	72.801	1729.4	-0.18988	0.00031375	0.72930	1000.0	0.0010000	6.9847	8.7369	21.935	65.708	72.801	1729.4	-0.18988	0.00031375	0.72930
371.66	98.108	undefined	7.0176	8.7850	22.024	1000.0	0.0010000	7.0176	8.7850	22.024	65.654	72.785	1730.7	-0.18976	0.00031242	0.72998	1000.0	0.0010000	7.0176	8.7850	22.024	65.654	72.785	1730.7	-0.18976	0.00031242	0.72998
372.16	98.957	undefined	7.0504	8.8331	22.112	1000.0	0.0010000	7.0504	8.8331	22.112	65.601	72.770	1732.0	-0.18963	0.00031110	0.73066	1000.0	0.0010000	7.0504	8.8331	22.112	65.601	72.770	1732.0	-0.18963	0.00031110	0.73066
372.66	99.809	undefined	7.0832	8.8812	22.200	1000.0	0.0010000	7.0832	8.8812	22.200	65.547	72.754	1733.3	-0.18951	0.00030980	0.73134	1000.0	0.0010000	7.0832	8.8812	22.200	65.547	72.754	1733.3	-0.18951	0.00030980	0.73134
373.16	100.66	undefined	7.1159	8.9294	22.288	1000.0	0.0010000	7.1159	8.9294	22.288	65.494	72.738	1734.6	-0.18939	0.00030850	0.73202	1000.0	0.0010000	7.1159	8.9294	22.288	65.494	72.738	1734.6	-0.18939	0.00030850	0.73202
