Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
287.66	1.8678	undefined	1.0962	1.1299	3.9104	1000.0	0.0010000	1.0962	1.1299	3.9104	75.112	75.357	1467.1	-0.22886	0.0011512	0.58930	1000.0	0.0010000	1.0962	1.1299	3.9104	75.112	75.357	1467.1	-0.22886	0.0011512	0.58930
288.16	2.0306	undefined	1.1338	1.1703	4.0408	1000.0	0.0010000	1.1338	1.1703	4.0408	75.071	75.338	1469.1	-0.22847	0.0011359	0.59030	1000.0	0.0010000	1.1338	1.1703	4.0408	75.071	75.338	1469.1	-0.22847	0.0011359	0.59030
288.66	2.2003	undefined	1.1713	1.2109	4.1709	1000.0	0.0010000	1.1713	1.2109	4.1709	75.030	75.320	1471.1	-0.22809	0.0011210	0.59130	1000.0	0.0010000	1.1713	1.2109	4.1709	75.030	75.320	1471.1	-0.22809	0.0011210	0.59130
289.16	2.3770	undefined	1.2088	1.2516	4.3007	1000.0	0.0010000	1.2088	1.2516	4.3007	74.988	75.301	1473.2	-0.22771	0.0011063	0.59230	1000.0	0.0010000	1.2088	1.2516	4.3007	74.988	75.301	1473.2	-0.22771	0.0011063	0.59230
289.66	2.5607	undefined	1.2463	1.2924	4.4302	1000.0	0.0010000	1.2463	1.2924	4.4302	74.945	75.283	1475.2	-0.22733	0.0010920	0.59330	1000.0	0.0010000	1.2463	1.2924	4.4302	74.945	75.283	1475.2	-0.22733	0.0010920	0.59330
290.16	2.7512	undefined	1.2837	1.3333	4.5595	1000.0	0.0010000	1.2837	1.3333	4.5595	74.902	75.265	1477.1	-0.22695	0.0010780	0.59430	1000.0	0.0010000	1.2837	1.3333	4.5595	74.902	75.265	1477.1	-0.22695	0.0010780	0.59430
290.66	2.9485	undefined	1.3212	1.3743	4.6884	1000.0	0.0010000	1.3212	1.3743	4.6884	74.859	75.247	1479.1	-0.22658	0.0010643	0.59529	1000.0	0.0010000	1.3212	1.3743	4.6884	74.859	75.247	1479.1	-0.22658	0.0010643	0.59529
291.16	3.1527	undefined	1.3586	1.4154	4.8170	1000.0	0.0010000	1.3586	1.4154	4.8170	74.815	75.229	1481.1	-0.22621	0.0010508	0.59629	1000.0	0.0010000	1.3586	1.4154	4.8170	74.815	75.229	1481.1	-0.22621	0.0010508	0.59629
291.66	3.3635	undefined	1.3960	1.4566	4.9453	1000.0	0.0010000	1.3960	1.4566	4.9453	74.770	75.211	1483.1	-0.22584	0.0010377	0.59729	1000.0	0.0010000	1.3960	1.4566	4.9453	74.770	75.211	1483.1	-0.22584	0.0010377	0.59729
292.16	3.5811	undefined	1.4334	1.4979	5.0734	1000.0	0.0010000	1.4334	1.4979	5.0734	74.725	75.193	1485.0	-0.22548	0.0010248	0.59829	1000.0	0.0010000	1.4334	1.4979	5.0734	74.725	75.193	1485.0	-0.22548	0.0010248	0.59829
292.66	3.8053	undefined	1.4707	1.5393	5.2011	1000.0	0.0010000	1.4707	1.5393	5.2011	74.679	75.176	1487.0	-0.22511	0.0010121	0.59929	1000.0	0.0010000	1.4707	1.5393	5.2011	74.679	75.176	1487.0	-0.22511	0.0010121	0.59929
